region,age_gr,households,schools,workplaces,activities
1001,0,,,,
1001,1,,,,
1001,2,,,,
1001,3,,,,
1001,4,,,,
1001,5,,,,
1001,6,,,,
1001,7,,,,
1001,8,,,,
1001,9,,,,
1002,0,2.3971962616822435,1.582109479305741,0.0,1.0787716955941253
1002,1,2.1166666666666667,3.798941798941798,0.0,1.873015873015873
1002,2,2.2805825242718445,4.39251040221914,0.0,3.131761442441054
1002,3,2.3666666666666667,3.522486772486772,0.2764550264550264,3.2632275132275135
1002,4,1.6661710037174724,1.0658523632501329,1.836431226765799,2.5193839617631437
1002,5,1.6922535211267609,0.61317907444668,2.0794768611670014,3.0523138832997985
1002,6,1.7775000000000003,0.2357142857142856,2.1834821428571423,3.007142857142857
1002,7,1.1593220338983052,0.2009685230024213,2.1421653407125563,2.8588723625043233
1002,8,0.7613207547169812,0.1365678346810422,1.0584007187780773,2.4519317160826595
1002,9,0.916475972540046,0.0084995096436744,0.2569467146126185,1.9055246812683881
1003,0,,,,
1003,1,,,,
1003,2,,,,
1003,3,,,,
1003,4,,,,
1003,5,,,,
1003,6,,,,
1003,7,,,,
1003,8,,,,
1003,9,,,,
1004,0,,,,
1004,1,,,,
1004,2,,,,
1004,3,,,,
1004,4,,,,
1004,5,,,,
1004,6,,,,
1004,7,,,,
1004,8,,,,
1004,9,,,,
1051,0,,,,
1051,1,,,,
1051,2,,,,
1051,3,,,,
1051,4,,,,
1051,5,,,,
1051,6,,,,
1051,7,,,,
1051,8,,,,
1051,9,,,,
1053,0,,,,
1053,1,,,,
1053,2,,,,
1053,3,,,,
1053,4,,,,
1053,5,,,,
1053,6,,,,
1053,7,,,,
1053,8,,,,
1053,9,,,,
1054,0,,,,
1054,1,,,,
1054,2,,,,
1054,3,,,,
1054,4,,,,
1054,5,,,,
1054,6,,,,
1054,7,,,,
1054,8,,,,
1054,9,,,,
1055,0,,,,
1055,1,,,,
1055,2,,,,
1055,3,,,,
1055,4,,,,
1055,5,,,,
1055,6,,,,
1055,7,,,,
1055,8,,,,
1055,9,,,,
1056,0,,,,
1056,1,,,,
1056,2,,,,
1056,3,,,,
1056,4,,,,
