,,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max
,,active,active,active,active,active,active,active,active,active,new,new,new,new,new,new,new,new,new,active,active,active,active,active,active,active,active,active,new,new,new,new,new,new,new,new,new,active,active,active,active,active,active,active,active,active,new,new,new,new,new,new,new,new,new
,,critical,dead,diagnosed,exposed,infected,quarantined,recovered,severe,susceptible,critical,dead,diagnosed,exposed,infected,quarantined,recovered,severe,susceptible,critical,dead,diagnosed,exposed,infected,quarantined,recovered,severe,susceptible,critical,dead,diagnosed,exposed,infected,quarantined,recovered,severe,susceptible,critical,dead,diagnosed,exposed,infected,quarantined,recovered,severe,susceptible,critical,dead,diagnosed,exposed,infected,quarantined,recovered,severe,susceptible
date,age_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,0,0,0,1200,1600,4700,200,2300,0,258000,0,0,0,300,500,200,0,0,0,0.0,0.0,1740.0,2000.0,5520.0,800.0,2620.0,0.0,259060.0,0.0,0.0,0.0,360.0,780.0,800.0,0.0,0.0,0.0,0,0,2900,2400,6600,1400,3300,0,260200,0,0,0,500,1100,1400,0,0,0
2020-09-30,1,0,0,1100,1500,4900,600,1800,0,268800,0,0,0,100,500,600,0,0,0,0.0,0.0,2200.0,1920.0,5720.0,1480.0,2700.0,0.0,270980.0,0.0,0.0,0.0,420.0,940.0,1480.0,0.0,0.0,0.0,0,0,3000,2400,7200,2500,3400,0,272100,0,0,0,600,1400,2500,0,0,0
2020-09-30,2,0,0,2200,1500,5700,1100,2900,0,305800,0,0,0,200,900,1100,0,0,0,0.0,0.0,2540.0,2380.0,6280.0,1760.0,3220.0,60.0,306500.0,0.0,0.0,0.0,480.0,1200.0,1760.0,0.0,20.0,0.0,0,0,2900,3100,7000,2800,3700,200,306900,0,0,0,800,1500,2800,0,100,0
2020-09-30,3,0,0,2700,2100,6600,500,3000,0,320200,0,0,0,100,500,500,0,0,0,0.0,0.0,3100.0,2300.0,6740.0,1540.0,3340.0,100.0,320520.0,0.0,0.0,0.0,360.0,980.0,1540.0,0.0,40.0,0.0,0,0,3400,2600,6900,2400,3700,200,320800,0,0,0,600,1400,2400,0,100,0
2020-09-30,4,0,0,2600,1300,5300,900,2900,200,335300,0,0,0,0,400,900,0,0,0,0.0,0.0,3440.0,1860.0,6640.0,1620.0,3540.0,260.0,336220.0,0.0,0.0,0.0,300.0,920.0,1620.0,0.0,20.0,0.0,0,0,3800,2500,7300,2200,4400,300,338000,0,0,0,500,1200,2200,0,100,0
2020-09-30,5,0,0,4500,2600,8600,1300,4800,300,484100,0,0,0,200,1100,1300,0,0,0,100.0,0.0,5220.0,3060.0,9760.0,1640.0,5100.0,460.0,485640.0,0.0,0.0,0.0,520.0,1440.0,1640.0,0.0,40.0,0.0,300,0,5900,3500,10900,2000,5500,700,486800,0,0,0,700,1700,2000,0,100,0
2020-09-30,6,0,0,3800,1400,6900,700,2700,400,349200,0,0,0,200,900,700,0,0,0,220.0,0.0,4340.0,2060.0,7220.0,1300.0,3420.0,580.0,350060.0,40.0,0.0,0.0,340.0,1140.0,1300.0,0.0,20.0,0.0,500,0,4800,2500,8100,2400,4000,900,351100,100,0,0,500,1400,2400,0,100,0
